"Type","Identifiant","Toponyme","Code ISO 1","Code ISO 2","Code ISO 3","Trait de côte (km)","Surface (km²)","Latitude","Longitude"
"ILE NORMALE",199,"","ALA","","","",4.92026442669843,1.3052963885843754,20.131193870734,60.379392725571
"ILE NORMALE",200,"","ALA","","","",0.9325939896604882,0.03855934148371219,21.098929900648,59.8715820607916
"ILE NORMALE",201,"","ALA","","","",1.1272656825550813,0.04497823441070318,20.1212922683509,59.9113785476128
"ILE NORMALE",202,"","ALA","","","",1.5534477302593208,0.07114204270720481,21.0977751555576,59.9037544321522
"ILE NORMALE",203,"","ALA","","","",2.1743090455060625,0.11734379091763496,21.096397478057,59.9144817811553
"ILE NORMALE",204,"","ALA","","","",3.635910775459627,0.3002093958801329,20.1342166874916,59.93299049498
"ILE NORMALE",205,"","ALA","","","",2.6703865876283,0.16834912848401068,21.0970719622043,59.9260009487838
"ILE NORMALE",206,"","ALA","","","",1.9881923329112272,0.12373838978993892,20.1372015079325,59.9228402302999
"ILE NORMALE",207,"","ALA","","","",1.3674423141531542,0.08087107013833522,21.093378824313,59.8940165493362
"ILE NORMALE",208,"","ALA","","","",1.4996521681437165,0.06176919653022289,20.1469569721583,59.9055648194084
"ILE NORMALE",209,"","ALA","","","",1.617138486519506,0.0971439974335432,21.0943007217267,59.9118640702131
"ILE NORMALE",210,"","ALA","","","",2.005809274151844,0.09796461815639958,20.1496020701802,59.9196130979367
"ILE NORMALE",211,"","ALA","","","",4.041757674657562,0.6397337847175598,21.0934628056454,60.3741564701518
"ILE NORMALE",212,"","ALA","","","",1.7406995645695402,0.10217194437813758,20.1579228652587,59.9227304353779
"ILE NORMALE",213,"","ALA","","","",0.9313782138480344,0.04136477102136612,21.0898835159749,59.9419984314408
"ILE NORMALE",214,"","ALA","","","",1.4344334664575804,0.08784920352005958,20.158262650575,59.9474120885203
"ILE NORMALE",215,"","ALA","","","",1.3709695170180511,0.06441501086223125,21.0909338294081,59.9247303499227
"ILE NORMALE",216,"","ALA","","","",1.5106067988776766,0.0862539260841608,20.1613901232802,59.9337246145949
"ILE NORMALE",217,"","ALA","","","",1.1158545345966366,0.05483621206861734,21.0893269774416,59.921109205289
"ILE NORMALE",218,"","ALA","","","",3.6198010701729877,0.21292933489876983,20.1669894644044,59.9379450346223
"ILE NORMALE",219,"","ALA","","","",1.2432876573131804,0.044290435944557185,21.0901253707398,59.8990875948504
"ILE NORMALE",220,"","ALA","","","",1.490084448727303,0.07831029922997951,20.1642578434621,59.9243477089551
"ILE NORMALE",221,"","ALA","","","",4.16325288290996,0.2522212451701164,21.0945932934795,59.8748998061692
"ILE NORMALE",222,"","ALA","","","",1.9194041298053344,0.13582022148966788,20.1697162544594,59.9620455160678
"ILE NORMALE",223,"","ALA","","","",1.1203841800662566,0.047299202892720695,21.0887528322807,59.7859475357475
"ILE NORMALE",224,"","ALA","","","",1.1855868248467283,0.06686005539201945,20.1674307276189,59.9443482684859
"ILE NORMALE",225,"","ALA","","","",0.9310485987235959,0.037524171016812324,21.0878594778385,59.8956698116013
"ILE NORMALE",226,"","ALA","","","",5.228325445589655,0.39876799117203054,20.1787098105744,59.9433191394965
"ILE NORMALE",227,"","ALA","","","",1.180455355354229,0.05587929060924053,21.0880186762766,59.9294502639434
"ILE NORMALE",228,"","ALA","","","",1.1274917614450173,0.05494303787612915,20.1739180696126,59.928511409131
"ILE NORMALE",229,"","ALA","","","",1.181189741992532,0.0491017682005167,21.0873731628045,59.9167826650374
"ILE NORMALE",230,"","ALA","","","",1.44346537459717,0.06818678661239147,20.1830344536457,59.9310441327729
"ILE NORMALE",231,"","ALA","","","",1.8069744361478717,0.12944147661828995,21.0873379969198,59.815129255362
"ILE NORMALE",232,"","ALA","","","",1.5591250466977737,0.09316820165745168,20.1865989726229,59.9289971287279
"ILE NORMALE",233,"","ALA","","","",1.118809647927807,0.05004580470728874,21.0856195853342,59.9496594405082
"ILE NORMALE",234,"","ALA","","","",1.6063868275357183,0.12129822935783863,20.1887676674811,59.9387851908064
"ILE NORMALE",235,"","ALA","","","",0.9949309958348425,0.04425028912496567,21.0838038330936,59.8664169599731
"ILE NORMALE",236,"","ALA","","","",1.3053813132623018,0.07289186218428612,20.1900590087472,59.9593891006238
"ILE NORMALE",237,"","ALA","","","",1.0574617255215166,0.047304873969495294,21.0827644794409,59.7950007995971
"ILE NORMALE",238,"","ALA","","","",2.3899570823027627,0.14229334001892804,20.1976502828433,59.9253154908489
"ILE NORMALE",239,"","ALA","","","",1.119195002365428,0.046350977355480195,21.0824039231251,59.7763841911731
"ILE NORMALE",240,"","ALA","","","",1.809997678799499,0.12076563165700435,20.1973127152795,59.9303982724151
